name,vendor,kcal_per_ml,protein_g_per_100ml,fiber_g_per_100ml,osmolality_mOsmL,notes
明治メイバランスソフトJelly®,明治,1.5,5.5,2.0,380,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
明治YH®,明治,1.0,4.0,1.5,300,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
テルミール®,ニュートリー,1.0,4.0,1.0,400,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
テルミールミニ®,ニュートリー,2.0,8.0,2.0,580,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
テルミールミニα®,ニュートリー,2.0,8.0,2.0,580,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
テルミールミニSoup®,ニュートリー,2.0,7.5,2.0,560,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
テルミールアップリード®,ニュートリー,4.0,15.0,0.0,1200,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
テルミールアップリードmini®,ニュートリー,4.0,15.0,0.0,1200,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
テルミール2.0α®,ニュートリー,2.0,8.0,2.0,600,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
テルミールソフト®,ニュートリー,1.3,5.0,1.5,380,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
テルミールソフトM®,ニュートリー,1.3,5.0,1.5,380,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
エフツーアルファ®,ニュートリー,2.0,8.0,2.0,590,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
インパクト®,ネスレ,1.5,9.4,0.0,700,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
インパクトエンタル®,ネスレ,1.5,9.0,0.0,680,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
ペプタメン®スタンダード,ネスレ,1.5,5.25,0.0,520,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
ペプタメンAF®,ネスレ,1.0,4.0,0.0,380,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
ペプタメンジュニア®,ネスレ,1.0,3.0,0.0,320,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
ペプタメンHN®,ネスレ,1.0,4.5,0.0,400,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
アイソカル100®,ネスレ,1.0,4.0,0.0,300,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
アイソカルRTU®,ネスレ,1.0,4.0,0.0,300,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
アイソカルプラス®,ネスレ,1.5,5.6,0.0,380,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
アイソカルプラスEX®,ネスレ,1.5,6.5,0.0,400,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
アイソカル2K Neo®,ネスレ,2.0,6.0,0.0,550,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
アイソカルBag 2K®,ネスレ,2.0,6.0,0.0,540,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
アイソカルセンイオン®,ネスレ,1.0,4.0,0.0,280,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
メディエフプッシュケア2.5®,ネスレ,2.5,7.5,0.0,600,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
メディエフプッシュケア1.5®,ネスレ,1.5,5.5,0.0,420,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
リソース・プロテイン®,ネスレ,1.5,6.0,0.0,400,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
エンシュア・H®,アボット,1.5,5.6,0.0,450,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
エンシュア・リキッド®,アボット,1.0,4.0,0.0,300,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
エネーボ配合経腸用液®,アボット,1.2,6.5,1.5,380,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
グルセルナ-REX®,アボット,1.0,4.5,2.0,280,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
グルセルナ-REX1.5®,アボット,1.5,6.0,2.5,380,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
プルモケア-EX®,アボット,1.5,7.5,0.0,420,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
ジュビーノ®配合経腸用液,アボット,1.0,4.0,0.0,310,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
ラコールNF配合経腸用液®,大塚・EN大塚,1.0,4.5,1.5,350,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
ラコールミニ配合経腸用液®,大塚・EN大塚,1.5,6.5,1.5,400,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
ツインラインNF配合経腸用液®,大塚・EN大塚,1.0,3.0,0.0,400,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
MA-ラクフィア1.0®,森永乳業クリニコ,1.0,4.0,1.5,300,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
MA-ラクフィア1.5®,森永乳業クリニコ,1.5,6.0,2.0,380,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
MA-ラクフィア1.5アセプバッグ®,森永乳業クリニコ,1.5,6.0,2.0,380,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
MA-ラクフィア1.0アセプバッグ®,森永乳業クリニコ,1.0,4.0,1.5,300,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
MA-ラクフィア0.6/0.8®,森永乳業クリニコ,0.8,3.2,1.2,250,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
ラクフィア1.5®,森永乳業クリニコ,1.5,6.0,2.0,380,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
MA-R2.0®,森永乳業クリニコ,2.0,7.5,2.5,550,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
MA-R2.0アセプバッグ®,森永乳業クリニコ,2.0,7.5,2.5,550,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
CZ-Hi®,森永乳業クリニコ,1.5,5.5,2.0,400,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
CZ-Hiアセプバッグ®,森永乳業クリニコ,1.5,5.5,2.0,400,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
CZ-Hi0.6/0.8®,森永乳業クリニコ,0.8,3.2,1.2,260,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
CZ-Hi1.5®,森永乳業クリニコ,1.5,5.5,2.0,400,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
CZ-Hi1.5アセプバッグ®,森永乳業クリニコ,1.5,5.5,2.0,400,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
PRONA®,森永乳業クリニコ,1.0,4.2,0.0,360,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
PRONAアセプバッグ®,森永乳業クリニコ,1.0,4.2,0.0,360,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
エコフローII®,森永乳業クリニコ,1.2,4.5,0.0,340,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
エコフローアクア®,森永乳業クリニコ,1.2,4.5,0.0,340,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
アクトエールアクア®,森永乳業クリニコ,1.2,4.5,0.0,340,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
ラクフィール®,森永乳業クリニコ,1.5,5.5,0.0,400,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
ヘパス®,森永乳業クリニコ,1.5,5.0,1.5,400,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
レナジーbit®,森永乳業クリニコ,1.5,3.5,1.5,350,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
レナジーU®,森永乳業クリニコ,1.5,3.5,1.5,350,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
レナジーUアセプバッグ®,森永乳業クリニコ,1.5,3.5,1.5,350,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
DIMS®,森永乳業クリニコ,1.0,4.2,1.2,280,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
DIMSアセプバッグ®,森永乳業クリニコ,1.0,4.2,1.2,280,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
イミディア®,ヤクルト,1.0,4.0,0.0,300,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
ペムパル®,ヤクルト,1.0,4.0,0.0,310,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
キューピーケア®経腸用（代表）,キユーピー,1.0,4.0,1.0,320,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
おいしさつづく®（経管栄養向け代表）,ホリカフーズ,1.0,3.8,1.0,300,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
ケアミール®流動食（代表）,日本ケアミール,1.0,3.5,1.0,290,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
日清オイリオ 経腸用流動食（代表）,日清オイリオ,1.0,4.0,1.0,310,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 商品名はメーカー公開情報に合わせて編集してください。 数値は代表値であり添付文書・院内規程で必ず確認してください。
ヘルシーフード 経腸用（代表）,ヘルシーフード,1.0,4.0,1.0,300,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
太陽化学 経腸関連（代表）,太陽化学,1.0,3.8,1.0,300,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 数値は代表値であり添付文書・院内規程で必ず確認してください。
テルミール®（旧テルモ販売）,テルモ,1.0,4.0,1.0,400,参照: PDNレクチャー(peg.or.jp)企業別製品一覧・各社公開概要。 現在の販売はニュートリー等。組成は同一製品で要確認。 数値は代表値であり添付文書・院内規程で必ず確認してください。
